ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
REXR2,2024-03-27,101.438,101.472,96.342693,96.342693,0.0,11,5.3692,5.0953
REXR2,2024-03-28,102.208,102.254,96.296459,96.296459,0.0,11,5.3923,5.9115
REXR2,2024-04-01,101.359,101.416,95.960778,95.960778,0.0,11,5.4665,5.3982
REXR2,2024-04-02,100.311,100.38,95.851619,95.851619,0.0,11,5.4796,4.4594
REXR2,2024-04-03,100.726,100.806,95.959338,95.959338,0.0,11,5.4527,4.7667
REXR2,2024-04-04,100.705,100.82,96.013254,96.013254,0.0,11,5.4431,4.6917
REXR2,2024-04-08,100.625,100.763,95.76599,95.76599,0.0,11,5.5092,4.859
REXR2,2024-04-09,101.5,101.649,95.910607,95.910607,0.0,11,5.4779,5.5894
REXR2,2024-04-10,99.948,100.108,95.232579,95.232579,0.0,11,5.642,4.7154
REXR2,2024-04-15,98.75,98.968,94.912872,94.912872,0.0,11,5.7131,3.8371
REXR2,2024-04-16,97.721,97.951,94.691565,94.691565,0.0,11,5.7597,3.0294
REXR2,2024-04-17,96.484,96.725,94.839814,94.839814,0.0,11,5.7326,1.6442
REXR2,2024-04-18,96.951,97.226,94.750547,94.750547,0.0,11,5.7533,2.2005
REXR2,2024-04-19,96.026,96.312,94.790125,94.790125,0.0,11,5.7484,1.2359
REXR2,2024-04-22,96.327,96.625,94.881322,94.881322,0.0,11,5.7367,1.4457
REXR2,2024-04-23,96.839,97.148,95.068694,95.068694,0.0,11,5.6932,1.7703
REXR2,2024-04-24,96.542,96.863,94.970408,94.970408,0.0,11,5.7192,1.5716
REXR2,2024-04-25,96.007,96.363,94.808208,94.808208,0.0,11,5.7555,1.1988
REXR2,2024-04-26,96.376,96.742,94.919301,94.919301,0.0,11,5.7343,1.4567
REXR2,2024-04-29,96.507,96.885,95.081351,95.081351,0.0,11,5.7151,1.4256
REXR2,2024-04-30,96.324,96.714,94.915108,94.915108,0.0,11,5.7607,1.4089
REXR2,2024-05-01,96.321,96.722,95.044296,95.044296,0.0,11,5.7339,1.2767
REXR2,2024-05-02,96.736,97.172,95.369601,95.369601,0.0,11,5.6654,1.3664
REXR2,2024-05-03,97.501,97.948,95.738872,95.738872,0.0,11,5.5887,1.7621
REXR2,2024-05-06,97.99,98.448,95.893687,95.893687,0.0,11,5.5665,2.0963
REXR2,2024-05-07,98.188,98.658,95.92887,95.92887,0.0,11,5.5735,2.2591
REXR2,2024-05-08,98.005,98.486,95.881665,95.881665,0.0,11,5.5847,2.1233
REXR2,2024-05-09,98.185,98.701,95.942181,95.942181,0.0,11,5.5778,2.2428
REXR2,2024-05-10,98.164,98.691,95.825886,95.825886,0.0,11,5.6106,2.3381
REXR2,2024-05-13,97.439,97.978,95.838112,95.838112,0.0,11,5.6211,1.6009
