ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
PPL2,2023-02-22,101.7,101.7,89.040423,89.040423,0.0,11,5.7877,12.6596
PPL2,2023-02-23,100.4,100.424,89.18117,89.18117,0.0,11,5.7561,11.2188
PPL2,2023-02-24,100.279,100.31,88.925444,88.925444,0.0,11,5.8033,11.3536
PPL2,2023-02-27,99.503,99.559,88.946001,88.946001,0.0,11,5.8127,10.557
PPL2,2023-02-28,98.32,98.384,88.95659,88.95659,0.0,11,5.8114,9.3634
PPL2,2023-03-01,97.509,97.58,88.657337,88.657337,0.0,11,5.8879,8.8517
PPL2,2023-03-02,97.888,97.983,88.573238,88.573238,0.0,11,5.8887,9.3148
PPL2,2023-03-03,98.313,98.417,88.828675,88.828675,0.0,11,5.8438,9.4843
PPL2,2023-03-06,98.21,98.322,88.936404,88.936404,0.0,11,5.8464,9.2736
PPL2,2023-03-07,96.94,97.059,88.645163,88.645163,0.0,11,5.956,8.2948
PPL2,2023-03-08,102.375,102.503,88.470143,88.470143,0.0,11,6.0114,13.9049
PPL2,2023-03-09,96.298,96.449,88.690784,88.690784,0.0,11,5.958,7.6072
PPL2,2023-03-10,96.828,96.988,89.264759,89.264759,0.0,11,5.8074,7.5632
PPL2,2023-03-13,97.021,97.189,89.980489,89.980489,0.0,11,5.5413,7.0405
PPL2,2023-03-14,97.513,97.689,89.995524,89.995524,0.0,11,5.5831,7.5175
PPL2,2023-03-15,98.233,98.417,90.06328,90.06328,0.0,11,5.4936,8.1697
PPL2,2023-03-16,98.194,98.402,89.986993,89.986993,0.0,11,5.5861,8.207
PPL2,2023-03-17,97.965,98.18,90.663031,90.663031,0.0,11,5.3883,7.302
PPL2,2023-03-20,98.506,98.73,90.520133,90.520133,0.0,11,5.4552,7.9859
PPL2,2023-03-21,97.99,98.221,90.423702,90.423702,0.0,11,5.504,7.5663
PPL2,2023-03-22,97.32,97.559,90.84699,90.84699,0.0,11,5.4056,6.473
PPL2,2023-03-23,97.771,98.034,91.419683,91.419683,0.0,11,5.2714,6.3513
PPL2,2023-03-24,98.719,98.991,91.49204,91.49204,0.0,11,5.2353,7.227
PPL2,2023-03-27,99.011,99.291,91.054603,91.054603,0.0,11,5.3691,7.9564
PPL2,2023-03-28,99.292,99.58,90.791853,90.791853,0.0,11,5.4384,8.5001
PPL2,2023-03-29,99.755,100.051,90.817302,90.817302,0.0,11,5.4222,8.9377
PPL2,2023-03-30,100.054,100.365,90.932137,90.932137,0.0,11,5.4229,9.1219
PPL2,2023-03-31,100.304,100.624,91.207088,91.207088,0.0,11,5.3726,9.0969
PPL2,2023-04-03,99.764,100.091,91.597847,91.597847,0.0,11,5.2982,8.1662
PPL2,2023-04-04,99.515,99.85,91.984142,91.984142,0.0,11,5.2078,7.5309
PPL2,2023-04-05,100.5,100.867,92.15592,92.15592,0.0,11,5.1742,8.3441
PPL2,2023-04-06,100.684,101.059,92.133408,92.133408,0.0,11,5.1975,8.5506
PPL2,2023-04-11,101.2,101.591,91.716823,91.716823,0.0,11,5.3313,9.4832
PPL2,2023-04-12,101.093,101.492,91.859911,91.859911,0.0,11,5.3067,9.2331
PPL2,2023-04-13,101.138,101.561,91.887111,91.887111,0.0,11,5.2953,9.2509
PPL2,2023-04-14,100.79,101.222,91.687916,91.687916,0.0,11,5.3541,9.1021
PPL2,2023-04-17,100.857,101.296,91.43858,91.43858,0.0,11,5.4197,9.4184
PPL2,2023-04-18,100.514,100.961,91.44669,91.44669,0.0,11,5.4196,9.0673
PPL2,2023-04-19,100.584,101.039,91.29367,91.29367,0.0,11,5.4548,9.2903
PPL2,2023-04-20,100.508,100.987,91.502813,91.502813,0.0,11,5.4028,9.0052
