ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
WEC3,2024-05-28,79.72,98.7723,21.5422,4.6921,3.0089,9.456916,0.495112,95.7447,9.574465
WEC3,2024-05-29,78.88,98.7723,18.6176,4.746,3.0062,7.515607,0.461671,76.0903,7.609026
WEC3,2024-05-30,79.26,98.7723,18.3504,4.7133,3.0034,7.508916,0.463809,76.0225,7.602252
WEC3,2024-05-31,81.03,98.7723,18.1884,4.6712,3.0007,8.192676,0.488173,82.9451,8.294511
WEC3,2024-06-03,81.18,98.7723,18.0054,4.5916,2.9925,8.063748,0.485458,81.6398,8.16398
WEC3,2024-06-04,82.14,98.7723,17.9708,4.5264,2.9897,8.42813,0.497321,85.3289,8.532892
WEC3,2024-06-05,81.0,98.7723,18.0902,4.4837,2.987,7.909929,0.478784,80.0825,8.008249
WEC3,2024-06-06,80.35,98.7723,17.9445,4.4625,2.9843,7.508536,0.466428,76.0187,7.601867
WEC3,2024-06-07,79.85,98.7723,18.1011,4.575,2.9815,7.456988,0.463899,75.4968,7.549679
WEC3,2024-06-10,79.44,98.7723,18.2344,4.6215,2.9733,7.35745,0.459621,74.489,7.448903
WEC3,2024-06-11,79.75,98.7723,18.4605,4.5774,2.9706,7.574598,0.464637,76.6875,7.66875
WEC3,2024-06-12,79.31,98.7723,18.5015,4.5105,2.9678,7.330836,0.455448,74.2196,7.421958
WEC3,2024-06-13,78.54,98.7723,18.0835,4.4402,2.9651,6.688319,0.436111,67.7145,6.771455
WEC3,2024-06-14,78.86,98.7723,17.5316,4.4179,2.9624,6.502952,0.434436,65.8378,6.583783
WEC3,2024-06-17,78.37,98.7723,18.1292,4.4649,2.9541,6.624827,0.433748,67.0717,6.707173
WEC3,2024-06-18,78.05,98.7723,18.6232,4.433,2.9514,6.716714,0.432425,68.002,6.800203
WEC3,2024-06-20,79.25,98.7723,18.1051,4.4453,2.9459,6.969371,0.446433,70.56,7.056
WEC3,2024-06-21,78.23,98.7723,18.3232,4.4475,2.9432,6.621944,0.431924,67.0426,6.704255
WEC3,2024-06-24,79.35,98.7723,17.8374,4.4514,2.935,6.841923,0.444675,69.2697,6.926968
WEC3,2024-06-25,78.32,98.7723,17.9204,4.4449,2.9322,6.408078,0.427915,64.8773,6.48773
WEC3,2024-06-26,78.15,98.7723,18.1825,4.5003,2.9295,6.511084,0.429778,65.9202,6.592017
WEC3,2024-06-27,78.45,98.7723,17.7369,4.4872,2.9268,6.383694,0.429148,64.6304,6.463043
WEC3,2024-06-28,78.46,98.7723,18.3199,4.5085,2.924,6.716765,0.436175,68.0025,6.800254
WEC3,2024-07-01,77.69,98.7723,20.385,4.5765,2.9158,7.501826,0.44639,75.9507,7.595074
WEC3,2024-07-02,78.04,98.7723,17.4137,4.5514,2.9131,6.027847,0.419457,61.0277,6.102773
WEC3,2024-07-03,77.68,98.7723,18.2026,4.5048,2.9103,6.257302,0.420547,63.3508,6.33508
WEC3,2024-07-05,77.85,98.7723,18.1307,4.4164,2.9049,6.210737,0.418848,62.8794,6.287937
WEC3,2024-07-08,78.05,98.7723,18.607,4.401,2.8966,6.523379,0.426252,66.0447,6.604465
WEC3,2024-07-09,78.01,98.7723,18.006,4.4077,2.8939,6.176079,0.418773,62.5285,6.252848
WEC3,2024-07-10,78.19,98.7723,18.0882,4.4019,2.8912,6.289358,0.4223,63.6753,6.367534
WEC3,2024-07-11,80.34,98.7723,17.9968,4.3087,2.8884,7.116283,0.452961,72.0474,7.204738
WEC3,2024-07-12,80.79,98.7723,17.6601,4.2602,2.8857,7.087356,0.455069,71.7545,7.175451
WEC3,2024-07-15,79.61,98.7723,17.6305,4.2584,2.8775,6.521603,0.434553,66.0267,6.602667
WEC3,2024-07-16,80.81,98.7723,17.6232,4.2236,2.8747,7.013579,0.452749,71.0076,7.100757
WEC3,2024-07-17,82.36,98.7723,18.1368,4.2074,2.872,7.963748,0.480711,80.6274,8.062737
WEC3,2024-07-18,82.05,98.7723,18.7479,4.2339,2.8693,8.175018,0.481459,82.7663,8.276634
WEC3,2024-07-19,81.55,98.7723,19.1771,4.2658,2.8665,8.185401,0.478044,82.8715,8.287145
WEC3,2024-07-22,82.03,98.7723,18.5806,4.2825,2.8583,8.075607,0.480663,81.7599,8.175987
WEC3,2024-07-23,81.75,98.7723,18.6884,4.2639,2.8556,7.967796,0.476187,80.6684,8.066836
WEC3,2024-07-24,83.56,98.7723,18.9628,4.2512,2.8528,9.041237,0.505656,91.5362,9.15362
WEC3,2024-07-25,83.32,98.7723,18.9452,4.2537,2.8501,8.900635,0.501796,90.1127,9.011269
WEC3,2024-07-26,83.73,98.7723,19.0348,4.2027,2.8474,9.105754,0.506565,92.1894,9.218939
WEC3,2024-07-29,84.1,98.7723,18.7377,4.1824,2.8392,9.080325,0.508904,91.9319,9.193194
WEC3,2024-07-30,85.6,98.7723,18.2755,4.1591,2.8364,9.558131,0.527821,96.7694,9.676938
WEC3,2024-07-31,86.06,98.7723,16.3207,4.1066,2.8337,8.616157,0.522651,87.2326,8.723256
WEC3,2024-08-01,88.72,98.7723,18.8485,3.994,2.8309,11.413761,0.569204,115.5563,11.555634
WEC3,2024-08-02,90.16,98.7723,19.7461,3.7602,2.8282,12.50868,0.583079,126.6416,12.664163
WEC3,2024-08-05,88.19,98.7723,23.6172,3.7128,2.82,13.571437,0.569557,137.4013,13.74013
WEC3,2024-08-06,88.47,98.7723,19.8442,3.7881,2.8172,11.587571,0.561293,117.316,11.731605
WEC3,2024-08-07,88.95,98.7723,20.4355,3.8318,2.8145,12.249788,0.570909,124.0205,12.402053
WEC3,2024-08-08,87.81,98.7723,19.8141,3.8662,2.8118,11.253211,0.554473,113.9309,11.393089
WEC3,2024-08-09,87.98,98.7723,19.0805,3.862,2.809,10.900811,0.553643,110.3631,11.036309
WEC3,2024-08-12,89.24,98.7723,18.8868,3.8275,2.8008,11.449352,0.569088,115.9167,11.591667
WEC3,2024-08-13,89.44,98.7723,19.5854,3.7626,2.7981,11.896301,0.571573,120.4417,12.044172
WEC3,2024-08-14,89.64,98.7723,18.0989,3.7473,2.7953,11.105639,0.569359,112.4368,11.243682
WEC3,2024-08-15,89.29,98.7723,17.8812,3.845,2.7926,10.872147,0.566969,110.0729,11.007288
WEC3,2024-08-16,89.53,98.7723,18.1716,3.8407,2.7899,11.170213,0.570998,113.0906,11.309059
WEC3,2024-08-19,90.14,98.7723,19.8464,3.8339,2.7817,12.471711,0.583014,126.2673,12.626735
WEC3,2024-08-20,90.57,98.7723,18.0716,3.7891,2.7789,11.618943,0.583305,117.6337,11.763366
WEC3,2024-08-22,92.96,98.7723,19.601,3.7858,2.7734,13.896341,0.616781,140.6907,14.069072
WEC3,2024-08-23,92.66,98.7723,18.3435,3.7346,2.7707,12.893035,0.610379,130.533,13.053295
WEC3,2024-08-26,93.01,98.7723,18.1372,3.7331,2.7625,12.945861,0.614609,131.0678,13.106778
WEC3,2024-08-27,92.61,98.7723,18.2298,3.7238,2.7598,12.746568,0.608735,129.0501,12.905008
WEC3,2024-08-28,92.79,98.7723,18.1262,3.7217,2.757,12.77815,0.610943,129.3698,12.936982
WEC3,2024-08-29,92.77,98.7723,18.1979,3.7425,2.7543,12.823456,0.611288,129.8285,12.982851
WEC3,2024-08-30,93.03,98.7723,17.594,3.7671,2.7515,12.645566,0.615538,128.0275,12.80275
WEC3,2024-09-03,93.63,98.7723,18.2583,3.7266,2.7406,13.335307,0.62174,135.0106,13.501065
WEC3,2024-09-04,94.54,98.7723,17.9105,3.6365,2.7379,13.598251,0.630912,137.6728,13.767277
WEC3,2024-09-05,94.68,98.7723,18.032,3.5996,2.7351,13.70502,0.631304,138.7537,13.875373
WEC3,2024-09-06,93.65,98.7723,18.8812,3.5448,2.7324,13.469107,0.615547,136.3653,13.636528
WEC3,2024-09-09,94.86,98.7723,17.5805,3.5223,2.7242,13.416171,0.630971,135.8293,13.582934
WEC3,2024-09-10,95.55,98.7723,18.5214,3.465,2.7214,14.337018,0.637201,145.1523,14.515227
WEC3,2024-09-11,95.21,98.7723,18.3165,3.4766,2.7187,14.001822,0.633232,141.7586,14.175864
WEC3,2024-09-12,95.01,98.7723,18.191,3.4866,2.7159,13.801437,0.630914,139.7299,13.972989
WEC3,2024-09-13,95.85,98.7723,18.1729,3.4402,2.7132,14.261645,0.64031,144.3892,14.438917
WEC3,2024-09-16,96.14,98.7723,17.6861,3.4089,2.705,14.090425,0.643449,142.6557,14.265569
WEC3,2024-09-17,95.74,98.7723,18.2453,3.4246,2.7023,14.174698,0.637841,143.5089,14.35089
WEC3,2024-09-18,95.24,98.7723,18.0098,3.4458,2.6995,13.73155,0.632055,139.0223,13.902234
WEC3,2024-09-19,93.78,98.7723,16.657,3.4523,2.6968,11.983564,0.612358,121.3252,12.132519
WEC3,2024-09-20,94.72,98.7723,16.9884,3.4391,2.694,12.763066,0.62528,129.2171,12.921711
WEC3,2024-09-23,95.18,98.7723,15.0355,3.4461,2.6858,11.885249,0.635384,120.3298,12.032983
WEC3,2024-09-24,94.54,98.7723,16.9356,3.4216,2.6831,12.555908,0.621611,127.1198,12.711978
WEC3,2024-09-25,94.6,98.7723,17.3873,3.4495,2.6804,12.887721,0.623043,130.4792,13.047915
WEC3,2024-09-26,94.61,98.7723,17.1008,3.4906,2.6776,12.76563,0.624752,129.2431,12.924306
