ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
REXR1,2024-03-28,101.775,101.824,97.860709,97.860709,0.0,5.5736,7,50.3,63.6351,22.9746,4.3721,2.9624,5.788612,90.9657,9.096573,0.470718,106.95728199999999,106.95728199999999,5.1822819999999865,51.822819999999865,True
REXR1,2024-04-01,100.943,101.004,97.679179,97.679179,0.0,5.6382,7,48.84,63.6351,26.001,4.46,2.9514,6.148886,96.6273,9.662729,0.468821,107.341908,107.341908,6.398908000000006,63.98908000000006,True
REXR1,2024-04-02,100.738,100.81,97.638925,97.638925,0.0,5.6417,7,48.57,63.6351,25.983,4.482,2.9487,6.019376,94.5921,9.459208,0.464067,107.098133,107.098133,6.360133000000005,63.601330000000054,True
REXR1,2024-04-03,100.826,100.911,97.726312,97.726312,0.0,5.6128,7,48.7,63.6351,27.0805,4.4738,2.9459,6.449502,101.3513,10.135134,0.475039,107.861446,107.861446,7.035446000000007,70.35446000000007,True
REXR1,2024-04-04,100.52,100.642,97.765823,97.765823,0.0,5.6034,7,48.46,63.6351,27.3976,4.444,2.9432,6.41702,100.8409,10.08409,0.472279,107.849913,107.849913,7.329913000000005,73.29913000000005,True
REXR1,2024-04-05,100.844,100.977,97.658988,97.658988,0.0,5.6496,7,48.61,63.6351,26.5278,4.5009,2.9405,6.211677,97.614,9.761402,0.469093,107.42039,107.42039,6.5763900000000035,65.76390000000004,True
REXR1,2024-04-08,100.848,100.994,97.638136,97.638136,0.0,5.6651,7,48.99,63.6351,26.4299,4.5462,2.9322,6.373765,100.1612,10.016116,0.475961,107.654252,107.654252,6.806252000000001,68.06252,True
REXR1,2024-04-09,101.13,101.288,97.721938,97.721938,0.0,5.6341,7,49.37,63.6351,25.972,4.5194,2.9295,6.386966,100.3686,10.036861,0.478524,107.758799,107.758799,6.628799000000001,66.28799000000001,True
REXR1,2024-04-10,100.34,100.511,97.305412,97.305412,0.0,5.7947,7,47.89,63.6351,26.9949,4.688,2.9268,6.092595,95.7427,9.574269,0.463733,106.879681,106.879681,6.539681000000002,65.39681000000002,True
REXR1,2024-04-11,100.479,100.686,97.245377,97.245377,0.0,5.7982,7,47.59,63.6351,26.9227,4.7186,2.924,5.94886,93.484,9.348395,0.458536,106.593772,106.593772,6.114772000000002,61.14772000000002,True
REXR1,2024-04-12,99.661,99.879,97.304374,97.304374,0.0,5.787,7,46.68,63.6351,27.6673,4.6809,2.9213,5.762083,90.5488,9.054883,0.447599,106.359257,106.359257,6.698256999999998,66.98256999999998,True
REXR1,2024-04-15,98.456,98.687,97.151134,97.151134,0.0,5.8511,7,45.07,63.6351,22.6885,4.7394,2.9131,3.598569,56.5501,5.655007,0.365718,102.806141,102.806141,4.350140999999994,43.501409999999936,True
REXR1,2024-04-16,98.391,98.634,97.037402,97.037402,0.0,5.8908,7,44.66,63.6351,20.9229,4.7808,2.9103,2.936836,46.1512,4.615121,0.333521,101.652523,101.652523,3.261522999999997,32.61522999999997,True
REXR1,2024-04-17,96.954,97.209,97.123792,97.123792,0.0,5.8673,7,42.24,63.6351,26.7764,4.7423,2.9076,3.709726,58.2969,5.829685,0.35594,102.95347699999999,102.95347699999999,5.999476999999999,59.99476999999999,True
REXR1,2024-04-18,97.762,98.054,97.080005,97.080005,0.0,5.8851,7,43.19,63.6351,27.0848,4.7758,2.9049,4.137264,65.0154,6.501545,0.377706,103.58155,103.58155,5.8195499999999925,58.195499999999925,True
REXR1,2024-04-19,97.611,97.915,97.106551,97.106551,0.0,5.881,7,42.74,63.6351,25.512,4.7712,2.9021,3.544724,55.7039,5.570392,0.351106,102.676943,102.676943,5.06594299999999,50.6594299999999,True
REXR1,2024-04-22,97.551,97.867,97.181634,97.181634,0.0,5.8696,7,43.01,63.6351,26.67,4.7692,2.8939,3.940112,61.9173,6.191729,0.368858,103.373363,103.373363,5.822362999999996,58.22362999999996,True
REXR1,2024-04-23,97.82,98.148,97.306507,97.306507,0.0,5.8261,7,43.73,63.6351,30.121,4.7455,2.8912,5.194557,81.6304,8.163039,0.416675,105.469546,105.469546,7.649546000000001,76.49546000000001,True
REXR1,2024-04-24,96.988,97.329,97.267993,97.267993,0.0,5.8513,7,42.54,63.6351,27.3671,4.7566,2.8884,3.944431,61.9851,6.198515,0.366821,103.466508,103.466508,6.478508000000005,64.78508000000005,True
REXR1,2024-04-25,97.389,97.766,97.183692,97.183692,0.0,5.883,7,43.0,63.6351,26.6581,4.8065,2.8857,3.931365,61.7798,6.177983,0.368694,103.36167499999999,103.36167499999999,5.972674999999995,59.72674999999995,True
REXR1,2024-04-26,97.381,97.77,97.250296,97.250296,0.0,5.8636,7,43.2,63.6351,26.8863,4.8059,2.883,4.058545,63.7784,6.377841,0.374614,103.62813700000001,103.62813700000001,6.247137000000009,62.47137000000009,True
REXR1,2024-04-29,97.64,98.041,97.352709,97.352709,0.0,5.8506,7,43.39,63.6351,25.7562,4.7824,2.8747,3.799209,59.703,5.970305,0.364651,103.323014,103.323014,5.683014,56.83014,True
REXR1,2024-04-30,97.3,97.713,97.251275,97.251275,0.0,5.8962,7,42.81,63.6351,24.9098,4.829,2.872,3.369731,52.954,5.295398,0.343656,102.54667300000001,102.54667300000001,5.2466730000000155,52.466730000000155,True
REXR1,2024-05-01,97.12,97.545,97.326066,97.326066,0.0,5.8705,7,42.39,63.6351,27.8082,4.7851,2.8693,3.982185,62.5785,6.257845,0.36772,103.583911,103.583911,6.463910999999996,64.63910999999996,True
REXR1,2024-05-02,97.81,98.272,97.530615,97.530615,0.0,5.8079,7,43.48,63.6351,25.6909,4.7286,2.8665,3.780292,59.4058,5.940578,0.363607,103.471193,103.471193,5.661192999999997,56.61192999999997,True
REXR1,2024-05-03,98.584,99.058,97.759133,97.759133,0.0,5.7383,7,44.4,63.6351,23.8642,4.6524,2.8638,3.573604,56.1578,5.615775,0.358769,103.374908,103.374908,4.790908000000002,47.90908000000002,True
REXR1,2024-05-06,98.495,98.981,97.863415,97.863415,0.0,5.7197,7,44.31,63.6351,28.7963,4.638,2.8556,4.929619,77.467,7.746699,0.408786,105.61011400000001,105.61011400000001,7.1151140000000055,71.15114000000005,True
REXR1,2024-05-07,98.886,99.384,97.877795,97.877795,0.0,5.7339,7,45.1,63.6351,21.8316,4.6273,2.8528,3.217487,50.5615,5.056152,0.346617,102.933947,102.933947,4.047947000000008,40.47947000000008,True
REXR1,2024-05-08,98.764,99.275,97.858598,97.858598,0.0,5.7429,7,44.9,63.6351,23.9666,4.6411,2.8501,3.752212,58.9645,5.896451,0.368668,103.755049,103.755049,4.991049000000004,49.91049000000004,True
REXR1,2024-05-09,98.916,99.463,97.89904,97.89904,0.0,5.7388,7,45.3,63.6351,28.3188,4.6204,2.8474,5.184001,81.4645,8.14645,0.421296,106.04549,106.04549,7.129490000000004,71.29490000000004,True
REXR1,2024-05-10,98.737,99.296,97.83543,97.83543,0.0,5.7718,7,45.11,63.6351,22.8454,4.6517,2.8446,3.507041,55.1117,5.511175,0.359673,103.346605,103.346605,4.609605000000002,46.09605000000002,True
REXR1,2024-05-13,98.599,99.17,97.855357,97.855357,0.0,5.7843,7,44.83,63.6351,24.5388,4.6512,2.8364,3.864502,60.7291,6.07291,0.372658,103.928267,103.928267,5.3292670000000015,53.292670000000015,True
REXR1,2024-05-14,98.886,99.469,97.937771,97.937771,0.0,5.7631,7,45.39,63.6351,24.1204,4.6237,2.8337,3.933142,61.8077,6.180775,0.378215,104.118546,104.118546,5.232545999999999,52.32545999999999,True
REXR1,2024-05-15,99.248,99.843,98.14496,98.14496,0.0,5.6876,7,45.9,63.6351,27.2311,4.546,2.8309,5.044512,79.2725,7.927249,0.418881,106.072209,106.072209,6.824208999999996,68.24208999999996,True
REXR1,2024-05-16,99.282,99.914,98.136674,98.136674,0.0,5.7021,7,46.13,63.6351,23.991,4.5649,2.8282,4.130892,64.9153,6.491531,0.389372,104.628205,104.628205,5.346204999999998,53.46204999999998,True
