ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
PPL2,2023-02-24,100.279,100.31,88.925444,88.925444,0.0,5.8033,11,27.69,34.0794,22.1809,4.1847,5.0541,5.484794,160.9414,16.094141,0.600212,105.019585,105.019585,4.74058500000001,47.4058500000001,True
PPL2,2023-02-27,99.503,99.559,88.946001,88.946001,0.0,5.8127,11,27.55,34.0794,22.2221,4.1792,5.0459,5.403546,158.5573,15.855733,0.595971,104.801734,104.801734,5.298733999999996,52.98733999999996,True
PPL2,2023-02-28,98.32,98.384,88.95659,88.95659,0.0,5.8114,11,27.07,34.0794,22.6908,4.1797,5.0431,5.237276,153.6785,15.367845,0.584712,104.32443500000001,104.32443500000001,6.004435000000015,60.04435000000015,True
PPL2,2023-03-01,97.509,97.58,88.657337,88.657337,0.0,5.8879,11,26.68,34.0794,22.4722,4.255,5.0404,5.00139,146.7568,14.67568,0.575229,103.333017,103.333017,5.824016999999998,58.24016999999998,True
PPL2,2023-03-02,97.888,97.983,88.573238,88.573238,0.0,5.8887,11,27.12,34.0794,22.3686,4.3107,5.0376,5.256,154.2279,15.422786,0.589364,103.996024,103.996024,6.108024,61.08024,True
PPL2,2023-03-03,98.313,98.417,88.828675,88.828675,0.0,5.8438,11,27.39,34.0794,21.738,4.2687,5.0349,5.238452,153.713,15.371296,0.592398,104.199971,104.199971,5.886971000000003,58.869710000000026,True
PPL2,2023-03-06,98.21,98.322,88.936404,88.936404,0.0,5.8464,11,27.48,34.0794,21.7941,4.2505,5.0267,5.285058,155.0805,15.508052,0.594145,104.444456,104.444456,6.234456000000009,62.34456000000009,True
PPL2,2023-03-07,96.94,97.059,88.645163,88.645163,0.0,5.956,11,26.88,34.0794,22.4754,4.3057,5.024,5.127289,150.4511,15.045106,0.582256,103.690269,103.690269,6.750269000000003,67.50269000000003,True
PPL2,2023-03-08,102.375,102.503,88.470143,88.470143,0.0,6.0114,11,27.0,34.0794,22.5517,4.3328,5.0212,5.225453,153.3315,15.333151,0.586979,103.803294,103.803294,1.428293999999994,14.28293999999994,False
PPL2,2023-03-09,96.298,96.449,88.690784,88.690784,0.0,5.958,11,26.58,34.0794,22.677,4.2499,5.0185,4.968472,145.7909,14.579087,0.572279,103.269871,103.269871,6.971870999999993,69.71870999999993,True
PPL2,2023-03-10,96.828,96.988,89.264759,89.264759,0.0,5.8074,11,26.25,34.0794,26.0264,4.0182,5.0157,5.432134,159.3962,15.939619,0.574235,105.20437799999999,105.20437799999999,8.376377999999988,83.76377999999988,True
