date,6040_return
2023-01-04,0.00684624040333035
2023-01-05,-0.0071745900920715975
2023-01-06,0.018125906667907053
2023-01-09,0.0006691092787423969
2023-01-10,0.002677574169643338
2023-01-11,0.010054349140625439
2023-01-12,0.005076834596894831
2023-01-13,0.0008521040453690174
2023-01-17,-0.0018196929248366132
2023-01-18,-0.005502522291202205
2023-01-19,-0.005281181075341656
2023-01-20,0.00954550307581754
2023-01-23,0.0062000764489916985
2023-01-24,0.0011189434440578962
2023-01-25,0.0007034759978706617
2023-01-26,0.005916885948746308
2023-01-27,0.0007800411457302479
2023-01-30,-0.008607272199424898
2023-01-31,0.01046519684855216
2023-02-01,0.009197439684312326
2023-02-02,0.009171221116290918
2023-02-03,-0.01022725269923055
2023-02-06,-0.005870724816142969
2023-02-07,0.007162230588809404
2023-02-08,-0.005995810448781835
2023-02-09,-0.006773276197815492
2023-02-10,-0.00033994568302757604
2023-02-13,0.008262693171063339
2023-02-14,-0.001694292865718783
2023-02-15,0.0011757688804721054
2023-02-16,-0.009931558238432859
2023-02-17,-0.0005581959915937684
2023-02-21,-0.015791464504242226
2023-02-22,0.0002443176429057115
2023-02-23,0.004629983779033964
2023-02-24,-0.008702513231297426
2023-02-27,0.0028260392266308276
2023-02-28,-0.0022586313036806025
2023-03-01,-0.004592610414786114
2023-03-02,0.0038375149894959827
2023-03-03,0.012778870779306839
2023-03-06,-0.0005732506351795231
2023-03-07,-0.009734171167127069
2023-03-08,0.0005655675437414851
2023-03-09,-0.009620726185518501
2023-03-10,-0.003995812356880445
2023-03-13,0.00232546192005878
2023-03-14,0.00757149291992314
2023-03-15,0.00023562673086867684
2023-03-16,0.008955624924412087
2023-03-17,-0.00450744543258943
2023-03-20,0.004161325155031692
2023-03-21,0.006667418689723136
2023-03-22,-0.006381749025506744
2023-03-23,0.002584446832160925
2023-03-24,0.004617212881523124
2023-03-27,-0.003191197345700658
2023-03-28,-0.0019524156652222402
2023-03-29,0.009206270998309084
2023-03-30,0.00395725533286515
2023-03-31,0.010393061027634598
2023-04-03,0.004024878677849486
2023-04-04,-0.0018462290486773057
2023-04-05,-0.00021335616106001867
2023-04-06,0.0019823271183556646
2023-04-10,-0.002131971811496225
2023-04-11,0.00040175052562139155
2023-04-12,-0.0019647652310155637
2023-04-13,0.007809558826079054
2023-04-14,-0.003427850605656135
2023-04-17,0.0001408525714188258
2023-04-18,0.0009574975163694877
2023-04-19,-0.0007070629092111647
2023-04-20,-0.001454009027079639
2023-04-21,-0.00021826779918212582
2023-04-24,0.002198835847939984
2023-04-25,-0.007033317076232981
2023-04-26,-0.004018730757974609
2023-04-27,0.010502123948422782
2023-04-28,0.0071722101078984125
2023-05-01,-0.004701604666880255
2023-05-02,-0.002852605605221026
2023-05-03,-0.0023521420162645685
2023-05-04,-0.004729426209463838
2023-05-05,0.009827165582699715
2023-05-08,-0.0020476939265225537
2023-05-09,-0.0029945710672544925
2023-05-10,0.005388962187730817
2023-05-11,0.0001579013118033104
2023-05-12,-0.0030271564100837534
2023-05-15,0.0010639028501147952
2023-05-16,-0.00493757479296899
2023-05-17,0.006676681892861146
2023-05-18,0.003916916415445826
2023-05-19,-0.0017682907171817641
2023-05-22,-0.00012350807094412277
2023-05-23,-0.0062846656861922584
2023-05-24,-0.00536626123235957
2023-05-25,0.0037243181626592124
2023-05-26,0.008098720930195124
2023-05-30,0.0028933185385344733
2023-05-31,-0.0019016673157467687
2023-06-01,0.0069129320325885596
2023-06-02,0.00656741864199013
2023-06-05,-0.0011905537387618013
2023-06-06,0.0017958434983746051
2023-06-07,-0.004192698950977514
2023-06-08,0.005758521803285533
2023-06-09,0.00013963617379832973
2023-06-12,0.006137290553355612
2023-06-13,0.0020809027479869787
2023-06-14,0.0010830102631817608
2023-06-15,0.010220675518733069
2023-06-16,-0.0033033000133896543
2023-06-20,-0.002379299842479243
2023-06-21,-0.0024232640011652372
2023-06-22,9.435040519245553e-05
2023-06-23,-0.003352066240529106
2023-06-26,-0.0019627922244227934
2023-06-27,0.005805507954518774
2023-06-28,0.0014840331312660827
2023-06-29,-0.0007222099873918533
2023-06-30,0.008021859759058803
2023-07-03,0.0002194278167752194
2023-07-05,-0.002695827197856682
2023-07-06,-0.007292716464062576
2023-07-07,-0.0014318602947298142
2023-07-10,0.0026373610274424307
2023-07-11,0.0046889708489098675
2023-07-12,0.008085022155476195
2023-07-13,0.007256869685084144
2023-07-14,-0.0022839479845402134
2023-07-17,0.0025326863807217936
2023-07-18,0.00478439998319673
2023-07-19,0.0025573334086332446
2023-07-20,-0.006053236000513773
2023-07-21,0.00028587211237258715
2023-07-24,0.0019457024209423412
2023-07-25,0.0011882076972243637
2023-07-26,0.0014022869665424765
2023-07-27,-0.007405886126100536
2023-07-28,0.00743830689041407
2023-07-31,0.0016344362611543594
2023-08-01,-0.004365398253461739
2023-08-02,-0.00929715304679204
2023-08-03,-0.0044127611796293655
2023-08-04,0.0005817315893718259
2023-08-07,0.005320045898295022
2023-08-08,-0.0016578719334596759
2023-08-09,-0.0037223562297504565
2023-08-10,-0.0023825071879986395
2023-08-11,-0.0015950212144462573
2023-08-14,0.0030205835235431523
2023-08-15,-0.008072664167032183
2023-08-16,-0.005363852703027283
2023-08-17,-0.00499079229662891
2023-08-18,0.0011691760774680483
2023-08-21,0.0018957539509177222
2023-08-22,-0.00120459072791268
2023-08-23,0.010504559243637824
