date,SP500_return,6040_return
2023-01-04,0.007538970575044379,0.00684624040333035
2023-01-05,-0.011645528874622113,-0.0071745900920715975
2023-01-06,0.02284078102943865,0.018125906667907053
2023-01-09,-0.0007676325452631305,0.0006691092787423969
2023-01-10,0.006978233159061986,0.002677574169643338
2023-01-11,0.012849424614881588,0.010054349140625439
2023-01-12,0.0034159058663651987,0.005076834596894831
2023-01-13,0.003996858363534361,0.0008521040453690174
2023-01-17,-0.0020304911890052235,-0.0018196929248366132
2023-01-18,-0.015562598500411085,-0.005502522291202205
2023-01-19,-0.007638350296294338,-0.005281181075341656
2023-01-20,0.018918401045981525,0.00954550307581754
2023-01-23,0.01188134498366522,0.0062000764489916985
2023-01-24,-0.0007115031258156934,0.0011189434440578962
2023-01-25,-0.0001817250594663422,0.0007034759978706617
2023-01-26,0.011007853469181317,0.005916885948746308
2023-01-27,0.002494840970949097,0.0007800411457302479
2023-01-30,-0.012968740984683369,-0.008607272199424898
2023-01-31,0.014642470285510134,0.01046519684855216
2023-02-01,0.010452303944590291,0.009197439684312326
2023-02-02,0.014699373244309921,0.009171221116290918
2023-02-03,-0.010354610691310495,-0.01022725269923055
2023-02-06,-0.006140463017754394,-0.005870724816142969
2023-02-07,0.01287251059802652,0.007162230588809404
2023-02-08,-0.011080724476164705,-0.005995810448781835
2023-02-09,-0.00882979617773516,-0.006773276197815492
2023-02-10,0.0021952617756952897,-0.00033994568302757604
2023-02-13,0.011448609342766147,0.008262693171063339
2023-02-14,-0.0002804145319874607,-0.001694292865718783
2023-02-15,0.002773175690496066,0.0011757688804721054
2023-02-16,-0.013788741489130674,-0.009931558238432859
2023-02-17,-0.002767405825327751,-0.0005581959915937684
2023-02-21,-0.020041234255327334,-0.015791464504242226
2023-02-22,-0.0015735561458868341,0.0002443176429057115
2023-02-23,0.005329429416074394,0.004629983779033964
2023-02-24,-0.010537551485558128,-0.008702513231297426
2023-02-27,0.0030730045671669703,0.0028260392266308276
2023-02-28,-0.0030360018281855305,-0.0022586313036806025
2023-03-01,-0.004725264845680033,-0.004592610414786114
2023-03-02,0.0075821940867943916,0.0038375149894959827
2023-03-03,0.0161477371607488,0.012778870779306839
2023-03-06,0.0006871667698291617,-0.0005732506351795231
2023-03-07,-0.015326919115337678,-0.009734171167127069
2023-03-08,0.0014147940136839399,0.0005655675437414851
2023-03-09,-0.01845935787384867,-0.009620726185518501
2023-03-10,-0.01447813845705137,-0.003995812356880445
2023-03-13,-0.001509761003189447,0.00232546192005878
2023-03-14,0.016476655480623936,0.00757149291992314
2023-03-15,-0.00698088356543769,0.00023562673086867684
2023-03-16,0.017562006217166637,0.008955624924412087
2023-03-17,-0.011019457310067593,-0.00450744543258943
2023-03-20,0.008918403718310097,0.004161325155031692
2023-03-21,0.012982193897784988,0.006667418689723136
2023-03-22,-0.01646322377571363,-0.006381749025506744
2023-03-23,0.0029845287333754023,0.002584446832160925
2023-03-24,0.005639807253104534,0.004617212881523124
2023-03-27,0.0016469543057482383,-0.003191197345700658
2023-03-28,-0.0015738434957162095,-0.0019524156652222402
2023-03-29,0.014237268879836451,0.009206270998309084
2023-03-30,0.005715269388667954,0.00395725533286515
2023-03-31,0.014436542471763847,0.010393061027634598
2023-04-03,0.0036988464765423945,0.004024878677849486
2023-04-04,-0.005796972083329965,-0.0018462290486773057
2023-04-05,-0.002492370531228194,-0.00021335616106001867
2023-04-06,0.0035791630944272956,0.0019823271183556646
2023-04-10,0.0009963029974375814,-0.002131971811496225
2023-04-11,-4.1352477946232646e-05,0.00040175052562139155
2023-04-12,-0.004134884052006904,-0.0019647652310155637
2023-04-13,0.01326268999363811,0.007809558826079054
2023-04-14,-0.0020693734728036706,-0.003427850605656135
2023-04-17,0.00330615690296554,0.0001408525714188258
2023-04-18,0.0008552202959737354,0.0009574975163694877
2023-04-19,-8.42619976980652e-05,-0.0007070629092111647
2023-04-20,-0.00595254815297297,-0.001454009027079639
2023-04-21,0.0009031888869577287,-0.00021826779918212582
2023-04-24,0.0008515791660903549,0.002198835847939984
2023-04-25,-0.015810858882773227,-0.007033317076232981
2023-04-26,-0.003841187197329843,-0.004018730757974609
